City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,callao,-12.0667,-77.15,26.51,65,0,8.23,PE,1707790851
83,iskateley,67.6803,53.1512,-32.77,100,21,2.24,RU,1707790851
84,ryotsu-minato,38.0833,138.4333,10.14,72,45,11.81,JP,1707790851
85,mogocha,53.7333,119.7667,-12.99,62,4,3.26,RU,1707790851
86,senillosa,-39.0,-68.4167,18.88,22,0,4.16,AR,1707790851
87,broken hill,-31.95,141.4333,33.86,28,0,7.52,AU,1707790851
88,mili,6.0815,171.735,27.69,74,100,8.52,MH,1707790851
89,saundatti,15.7833,75.1167,21.18,58,3,1.97,IN,1707790851
90,mossel bay,-34.1831,22.146,20.06,79,31,3.51,ZA,1707790852
91,tembisa,-25.9964,28.2268,17.71,96,0,1.54,ZA,1707790852
92,colonia,50.9333,6.95,4.98,90,0,1.54,DE,1707790774
93,ojinaga,29.5667,-104.4167,10.87,34,0,1.54,MX,1707790852
94,pacasmayo,-7.4006,-79.5714,25.51,76,99,4.69,PE,1707790852
95,ribeira grande,38.5167,-28.7,17.65,89,51,11.18,PT,1707790852
96,laguna,38.421,-121.4238,13.99,65,0,0.0,US,1707790852
97,ilulissat,69.2167,-51.1,-21.99,49,20,1.03,GL,1707790852
98,mao,39.8885,4.2658,11.31,87,0,6.17,ES,1707790852
99,gadzhiyevo,69.2551,33.3362,-20.39,100,74,5.11,RU,1707790852
100,santanyi,39.3546,3.1291,13.79,78,3,3.72,ES,1707790852
101,coahuayana de hidalgo,18.7,-103.6583,21.45,87,99,0.42,MX,1707790852
102,biltine,14.5333,20.9167,21.73,11,2,3.67,TD,1707790852
103,porto novo,6.4965,2.6036,26.4,88,0,2.31,BJ,1707790853
104,richmond hill,43.8711,-79.4372,1.27,82,50,1.33,CA,1707790853
105,akrehamn,59.2667,5.1833,3.56,80,100,8.23,NO,1707790853
106,tura,25.5198,90.2201,18.92,28,49,0.7,IN,1707790853
107,sayula de aleman,17.8667,-94.95,20.59,78,100,2.8,MX,1707790853
108,bamboo flat,11.7,92.7167,29.05,74,20,3.6,IN,1707790853
109,villas,26.5504,-81.8687,23.36,91,0,5.14,US,1707790853
110,selfoss,63.9331,-20.9971,-1.75,85,29,5.0,IS,1707790853
111,opuwo,-18.0607,13.84,21.65,75,100,1.38,NA,1707790853
112,polyarnyy,69.1989,33.4478,-19.68,100,56,5.07,RU,1707790853
113,ruelle-sur-touvre,45.6833,0.2333,5.51,88,75,1.54,FR,1707790853
114,praia,14.9215,-23.5087,21.3,83,20,3.6,CV,1707790854
115,keflavik,64.0049,-22.5624,0.95,86,40,11.83,IS,1707790854
116,alofi,-19.0595,-169.9187,29.94,74,75,5.66,NU,1707790854
117,susuman,62.7833,148.1667,-36.68,97,92,0.45,RU,1707790854
118,copiapo,-27.3667,-70.3333,16.83,73,65,2.0,CL,1707790664
119,chita,52.0333,113.55,-12.06,44,5,1.0,RU,1707790854
120,lompoc,34.6391,-120.4579,14.08,81,0,3.6,US,1707790854
121,port alfred,-33.5906,26.891,18.43,96,0,3.44,ZA,1707790854
122,margaret river,-33.95,115.0667,21.27,43,0,4.9,AU,1707790854
123,avarua,-21.2078,-159.775,29.03,65,20,3.6,CK,1707790854
124,hithadhoo,-0.6,73.0833,28.05,78,100,7.45,MV,1707790854
125,padang,-0.9492,100.3543,32.03,66,44,2.86,ID,1707790854
126,sao joao da barra,-21.6403,-41.0511,25.23,89,68,6.78,BR,1707790854
127,brookings,44.3114,-96.7984,0.06,84,0,0.0,US,1707790854
128,san borja,-14.8167,-66.85,23.32,99,100,0.7,BO,1707790854
129,haiku-pauwela,20.9219,-156.3051,26.01,67,20,5.66,US,1707790854
130,pontianak,-0.0333,109.3333,27.99,88,40,3.6,ID,1707790855
131,malvan,16.0667,73.4667,23.33,44,100,4.49,IN,1707790855
